page_id,page_title,view_count,protection_level,protection_expiry,page_length,number_page_watchers,number_page_watchers_recent_edits,number_of_redirects,page_views_past_30days,total_edits,recent_number_of_edits,number_distinct_authors,number_categories
155625,Penetrance,528072,unprotected,,8209,48,6,6,3082,189,0,0,3
2931650,G.I. Joe: A Real American Hero (1985 TV series),526053,unprotected,,108,111,7,0,5807,1,0,0,
5329631,Aaron Dismuke,496251,unprotected,,33117,44,3,3,8494,910,5,3,9
638295,Snufkin,481509,unprotected,,6334,Fewer than 30 watchers,,1,6424,271,0,0,4
2486084,Syllabic consonant,468511,unprotected,,16247,57,10,10,5461,298,0,0,25
685106,Betty Dodson,465302,unprotected,,10947,53,5,10,4501,303,0,0,16
2128025,Croft (land),461908,unprotected,,5309,44,5,15,5033,189,2,2,10
2255820,Transthoracic echocardiogram,446257,unprotected,,24378,Fewer than 30 watchers,,0,3617,156,1,1,2
2514063,Phil Vickery (chef),442109,unprotected,,5048,Fewer than 30 watchers,,0,19338,193,0,0,5
4701050,University (The Sopranos),424786,unprotected,,9894,Fewer than 30 watchers,,1,9958,263,0,0,7
41563382,Shane Haste,418257,unprotected,,93,Fewer than 30 watchers,,0,211,6,0,0,
481608,Sikorsky CH-37 Mojave,417715,unprotected,,11295,43,10,11,6567,206,0,0,6
48517301,Now (The Walking Dead),383995,unprotected,,8357,Fewer than 30 watchers,,1,2307,85,0,0,6
1929224,Culture of Afghanistan,370673,unprotected,,30676,145,2,7,7983,1694,10,5,5
3235466,Wadie Haddad,363012,unprotected,,7292,66,5,7,4060,336,0,0,14
43406039,Jaipur Pink Panthers,346643,unprotected,,19497,Fewer than 30 watchers,,1,2038,349,2,1,5
1251808,Master Order,330195,unprotected,,141,Fewer than 30 watchers,,0,1160,87,0,0,
4455796,Lateral inhibition,319444,unprotected,,18681,38,3,1,1421,142,0,0,
13582676,Bottle service,308569,unprotected,,3621,Fewer than 30 watchers,,3,2391,174,0,0,5
2680144,Leopardus,302344,unprotected,,19246,39,5,1,3562,328,8,4,4
14418222,Benita Hume,302174,unprotected,,5826,Fewer than 30 watchers,,0,2835,190,0,0,15
4095564,Lucas di Grassi,297115,unprotected,,151571,30,5,1,7222,981,5,3,13
1345299,Ted King (actor),294049,unprotected,,9573,Fewer than 30 watchers,,2,15837,307,11,3,14
505189,Continuation,291571,unprotected,,27847,126,10,7,2636,548,0,0,4
29642103,Kaalo,283120,unprotected,,5793,Fewer than 30 watchers,,0,4394,128,1,1,5
1819808,Mariana Levy,279347,unprotected,,8221,Fewer than 30 watchers,,0,2341,156,0,0,8
23010508,List of Kentucky Wildcats men's basketball head coaches,268784,unprotected,,4846,Fewer than 30 watchers,,0,975,87,1,1,2
2509600,GE AC4400CW,266054,unprotected,,10377,Fewer than 30 watchers,,3,4655,289,10,6,4
68660,Amon,260795,unprotected,,2907,Fewer than 30 watchers,,1,1904,293,1,1,
4707718,Gaya district,260613,unprotected,,17586,Fewer than 30 watchers,,2,2740,385,3,3,14
821919,Feck,254611,unprotected,,6260,35,3,4,2850,431,3,3,4
1608441,Aspect (geography),253200,unprotected,,7582,Fewer than 30 watchers,,2,1784,161,2,1,3
9853551,Accelerated idioventricular rhythm,251535,unprotected,,6613,Fewer than 30 watchers,,1,2231,76,0,0,5
10566622,Coinage Act of 1965,243808,unprotected,,44863,44,8,1,2168,308,1,1,7
2382960,List of Chief Ministers of Sikkim,242108,unprotected,,132,Fewer than 30 watchers,,0,297,2,0,0,3
10805870,Greenland in World War II,234286,unprotected,,21864,33,3,6,2054,344,1,1,10
1007767,DeFord Bailey,233495,unprotected,,20907,35,7,1,2147,270,0,0,19
4391160,Libby Fox,232416,unprotected,,26799,Fewer than 30 watchers,,1,948,931,0,0,6
17908749,Beluga,228591,unprotected,,793,47,2,3,867,125,0,0,
1481657,We Were Soldiers Once… And Young,226847,unprotected,,65,Fewer than 30 watchers,,0,1155,1,0,0,
24424777,Jerod Haase,224217,unprotected,,17902,Fewer than 30 watchers,,3,641,485,0,0,8
278429,Antenna (ZZ Top album),223590,unprotected,,6933,Fewer than 30 watchers,,8,21286,173,5,2,25
2884143,Martin Gottfried Weiss,222843,unprotected,,10950,Fewer than 30 watchers,,2,2900,192,1,1,13
16160256,Saamana,221092,unprotected,,4842,Fewer than 30 watchers,,5,2119,123,2,2,6
3741868,SCSI connector,217011,unprotected,,16688,32,2,7,1858,198,1,1,6
5444617,Military of Montenegro,211451,unprotected,,57,Fewer than 30 watchers,,0,622,1,0,0,
7716291,Type 4 Chi-To,209582,unprotected,,56,Fewer than 30 watchers,,0,1291,1,0,0,
3543585,Joule-second,207744,unprotected,,3097,Fewer than 30 watchers,,4,2545,111,0,0,
1244933,Hydantoin,206927,unprotected,,8257,Fewer than 30 watchers,,8,1503,156,0,0,9
39439111,Alistair Brammer,205964,unprotected,,7131,Fewer than 30 watchers,,0,2524,92,1,1,10
1352792,Sj-sound,205834,unprotected,,11369,45,5,16,2960,303,6,4,9
759885,Darrell Armstrong,202412,unprotected,,19602,Fewer than 30 watchers,,1,2470,297,0,0,4
38819129,Ikman.lk,202398,unprotected,,5675,Fewer than 30 watchers,,2,11238,165,1,1,7
406770,Omake,201365,unprotected,,5215,41,There may or may not be a watching user visiting recent edits,1,2396,144,0,0,6
7988780,"Louis Auguste, Duke of Maine",193161,unprotected,,18069,Fewer than 30 watchers,,7,3262,317,0,0,15
758092,Galore (The Cure album),192253,unprotected,,5281,Fewer than 30 watchers,,1,2568,136,0,0,5
15071142,List of city nicknames in Texas,190858,unprotected,,36524,Fewer than 30 watchers,,1,1461,551,3,3,23
7716042,Type 89 I-Go,189984,unprotected,,55,33,9,0,941,1,0,0,
21406513,BIS,187481,unprotected,,3172,61,3,8,997,223,3,2,
1696562,City Boy (band),182824,unprotected,,15052,Fewer than 30 watchers,,2,2989,284,5,3,13
35992681,Hyperestrogenism,179022,unprotected,,4625,Fewer than 30 watchers,,2,1504,50,1,1,10
1018662,Kadomatsu,175932,unprotected,,4056,Fewer than 30 watchers,,3,765,128,0,0,8
41659290,Muamer Tanković,173897,unprotected,,29398,Fewer than 30 watchers,,1,2293,541,7,5,9
2870161,Bell's spaceship paradox,168570,unprotected,,34445,63,7,1,1586,663,0,0,5
3632157,List of Lexx episodes,165686,unprotected,,56258,32,8,50,1245,352,0,0,7
1166477,Bubble Yum,164953,unprotected,,2403,Fewer than 30 watchers,,2,1568,232,0,0,
3105023,Offshore investment,164676,unprotected,,14596,Fewer than 30 watchers,,1,783,151,0,0,8
41407242,Billie Sutton,158727,unprotected,,11125,Fewer than 30 watchers,,0,1860,108,0,0,4
908505,In Which Annie Gives It Those Ones,155220,unprotected,,7294,Fewer than 30 watchers,,1,2273,134,0,0,7
245060,List of Roman cognomina,152927,unprotected,,35187,Fewer than 30 watchers,,0,2312,485,1,1,
3360224,Dougga,151833,unprotected,,89974,43,6,5,1372,318,1,1,27
38203019,Kate Dillon Levin,146270,unprotected,,22153,Fewer than 30 watchers,,0,1273,136,14,8,6
6247647,SM U-1 (Germany),144470,unprotected,,8146,Fewer than 30 watchers,,10,2534,146,0,0,5
4970011,"Ghum, West Bengal",144334,unprotected,,18250,Fewer than 30 watchers,,2,790,175,0,0,11
2626808,Masha Bruskina,141900,unprotected,,9185,Fewer than 30 watchers,,0,3350,188,1,1,14
22071969,The Human Factor (1979 film),140668,unprotected,,6869,Fewer than 30 watchers,,0,1653,171,1,1,5
3168708,Alvechurch F.C.,139097,unprotected,,23536,Fewer than 30 watchers,,4,1451,403,7,1,4
32291785,Quiet Birdmen,138920,unprotected,,20051,Fewer than 30 watchers,,5,1742,246,0,0,6
920330,Tupaia (navigator),138077,unprotected,,14264,Fewer than 30 watchers,,4,1735,164,2,2,16
3401414,Aeronwy Thomas,136515,unprotected,,6672,Fewer than 30 watchers,,2,3227,171,2,2,19
2710041,Utopia Banished,133608,unprotected,,6734,Fewer than 30 watchers,,1,1557,150,0,0,10
27334151,Rail transport in Vietnam,132978,unprotected,,66502,Fewer than 30 watchers,,3,1030,275,0,0,20
383777,Tom Henke,132473,unprotected,,18762,Fewer than 30 watchers,,0,2442,299,0,0,3
20580409,Lacedaemon (mythology),130718,unprotected,,2963,Fewer than 30 watchers,,0,1640,66,0,0,3
967654,Bottling line,130547,unprotected,,6460,Fewer than 30 watchers,,4,541,88,0,0,
2888633,Margraviate of Baden,130317,unprotected,,13315,109,5,13,1800,155,3,3,7
49085710,Brandon Semenuk,128930,unprotected,,6726,Fewer than 30 watchers,,0,1363,186,0,0,4
889697,U.S. Route 98,126122,unprotected,,14395,Fewer than 30 watchers,,29,1383,230,3,2,13
17057007,Jay Simpson (actor),125295,unprotected,,0,Fewer than 30 watchers,,0,0,,,,
49423435,Dear Uge,121759,unprotected,,8062,Fewer than 30 watchers,,1,1058,423,5,2,6
9937068,Mirrored,121332,unprotected,,7839,Fewer than 30 watchers,,3,998,237,0,0,5
10293988,Mejlis of the Crimean Tatar People,120494,unprotected,,22541,32,3,6,1861,278,1,1,12
6200269,Mix network,116570,unprotected,,14499,39,7,5,1001,88,0,0,5
996399,Lobito,115586,unprotected,,11618,Fewer than 30 watchers,,0,987,159,0,0,9
44086682,Black Comedy (TV series),115297,unprotected,,17532,Fewer than 30 watchers,,0,937,105,0,0,3
3558687,Mario Rosenstock,114750,unprotected,,6700,Fewer than 30 watchers,,0,722,246,1,1,8
15432584,Francis Alÿs,113728,unprotected,,25160,Fewer than 30 watchers,,1,727,191,0,0,24
3724576,Tom Phillips (Royal Navy officer),113527,unprotected,,27149,Fewer than 30 watchers,,3,1674,290,1,1,15
10593354,Inspector General of Police of the Ghana Police Service,113391,unprotected,,9273,Fewer than 30 watchers,,1,4297,83,2,2,5
922404,Nobuo Tobita,112765,unprotected,,24610,Fewer than 30 watchers,,2,1557,490,1,1,9
9782656,Refusal (horse),111144,unprotected,,81,Fewer than 30 watchers,,0,1154,1,0,0,
872259,"Edward Guinness, 1st Earl of Iveagh",110758,unprotected,,21786,Fewer than 30 watchers,,6,1621,240,0,0,22
6242348,British Traditional Wicca,110630,unprotected,,3352,50,8,1,1224,85,0,0,
983002,Broadcast automation,108165,unprotected,,11731,52,5,1,1135,171,0,0,9
48875845,Princess Mangkubumi,107765,unprotected,,15470,Fewer than 30 watchers,,1,2043,61,0,0,3
20919132,Fishing industry in Russia,107344,unprotected,,28195,Fewer than 30 watchers,,1,468,131,1,1,10
10022476,Athena (Marvel Comics),107252,unprotected,,22012,Fewer than 30 watchers,,0,1012,265,0,0,5
611022,Berry Islands,103552,unprotected,,5377,Fewer than 30 watchers,,17,967,115,0,0,8
13285817,Non-game,101940,unprotected,,5081,32,3,7,805,101,2,2,
23340206,Conditions (album),101874,unprotected,,16276,Fewer than 30 watchers,,2,752,234,0,0,17
1589070,Bank of Taiwan,101156,unprotected,,6999,Fewer than 30 watchers,,3,969,203,0,0,10
24659645,Canonical criticism,99177,unprotected,,13440,Fewer than 30 watchers,,5,756,100,0,0,5
14645144,Infamous Stringdusters,98222,unprotected,,57,Fewer than 30 watchers,,0,161,1,0,0,
8272226,The Last Templar,96686,unprotected,,10486,Fewer than 30 watchers,,2,975,264,1,1,2
23691162,Dolby 3D,95361,unprotected,,3401,48,8,1,456,127,0,0,2
1725253,Vasco da Gama Tower,92760,unprotected,,6344,Fewer than 30 watchers,,3,578,137,0,0,8
9651553,"Tottenham, Ontario",91946,unprotected,,1392,Fewer than 30 watchers,,1,941,98,0,0,8
127260,"Calverton, New York",91724,unprotected,,12072,Fewer than 30 watchers,,4,1017,105,3,2,8
12027400,Legal document assistant,91347,unprotected,,22738,Fewer than 30 watchers,,0,382,180,2,2,11
12667164,The Boys from County Clare,90813,unprotected,,5987,Fewer than 30 watchers,,3,807,85,0,0,3
16023751,List of Norwegian artists,90109,unprotected,,8731,Fewer than 30 watchers,,3,623,114,3,1,4
108852,"Somers, Connecticut",89607,unprotected,,16065,Fewer than 30 watchers,,5,1156,354,1,1,10
15225400,Hung Jury (album),86326,unprotected,,5273,Fewer than 30 watchers,,0,669,57,0,0,8
3209473,Ewart's sign,85968,unprotected,,2465,Fewer than 30 watchers,,1,547,33,1,1,3
32525399,Solar backpack,85058,unprotected,,5552,Fewer than 30 watchers,,0,281,71,0,0,
44406763,Sherni,84419,unprotected,,2473,Fewer than 30 watchers,,0,1195,60,0,0,9
2696802,HMNZS Te Mana (F111),84364,unprotected,,25832,Fewer than 30 watchers,,3,1167,143,1,1,6
439896,Joseph Hodges Choate,80687,unprotected,,17102,Fewer than 30 watchers,,3,913,207,0,0,28
23617167,Katie Stelmanis,80572,unprotected,,7321,Fewer than 30 watchers,,0,641,155,0,0,8
2189912,Westbury-on-Trym,79529,unprotected,,13466,Fewer than 30 watchers,,5,631,244,0,0,11
1595238,Hong Kong International Film Festival,78204,unprotected,,18653,Fewer than 30 watchers,,2,502,230,2,2,
6777458,The Best of What's Around Vol. 1,76192,unprotected,,7605,Fewer than 30 watchers,,1,708,184,0,0,6
27045697,Keli McGregor,74490,unprotected,,6191,Fewer than 30 watchers,,4,1505,91,1,1,5
5657230,José Cid,74381,unprotected,,20762,Fewer than 30 watchers,,2,508,212,0,0,15
32020129,Futurebirds,74276,unprotected,,4978,Fewer than 30 watchers,,0,1140,73,0,0,5
4652116,Credit Europe Bank,73975,unprotected,,5074,Fewer than 30 watchers,,2,465,127,0,0,5
3309716,History of merit badges (Boy Scouts of America),73974,unprotected,,39732,48,3,6,476,1074,1,1,3
8758865,Robert Zildjian,73265,unprotected,,3802,Fewer than 30 watchers,,1,550,111,0,0,4
2491816,Parfleche,73155,unprotected,,7921,Fewer than 30 watchers,,1,546,104,0,0,2
26295766,Etisalat (Sri Lanka),72971,unprotected,,6454,Fewer than 30 watchers,,3,723,306,0,0,4
7737864,Phi Delta Kappa,72911,unprotected,,4558,Fewer than 30 watchers,,6,467,138,0,0,11
7528141,Brett Dean,72652,unprotected,,24305,Fewer than 30 watchers,,0,345,157,0,0,25
1372704,Gord Martineau,72546,unprotected,,3417,Fewer than 30 watchers,,0,546,151,0,0,5
25236754,EMERK,72212,unprotected,,2125,Fewer than 30 watchers,,2,399,144,0,0,6
38438250,Extreme Rising,72132,unprotected,,16393,Fewer than 30 watchers,,3,346,284,0,0,4
10931043,Gimme Some Neck,71391,unprotected,,4925,Fewer than 30 watchers,,0,893,85,0,0,8
1376344,List of universities in Haiti,70918,unprotected,,5382,Fewer than 30 watchers,,0,366,220,4,3,2
20835115,Tom Simcox,70018,unprotected,,0,Fewer than 30 watchers,,0,0,,,,
2068773,"Luna, La Union",68932,unprotected,,15426,Fewer than 30 watchers,,0,729,167,2,2,12
4966415,Primorsko,68522,unprotected,,7603,Fewer than 30 watchers,,1,1400,133,0,0,9
17909232,Yemeni passport,68017,unprotected,,4662,Fewer than 30 watchers,,1,553,112,0,0,3
45621342,Alex Adair,67284,unprotected,,5418,Fewer than 30 watchers,,2,209,72,1,1,8
2358245,Winner Take Nothing,67150,unprotected,,7398,Fewer than 30 watchers,,0,991,76,0,0,4
5675972,Photo Production Ltd v Securicor Transport Ltd,66873,unprotected,,8533,Fewer than 30 watchers,,7,430,57,0,0,2
1971924,Order of Glory,66236,unprotected,,12850,Fewer than 30 watchers,,1,687,170,0,0,5
48426720,United States Capitol cornerstone laying,65452,unprotected,,14590,Fewer than 30 watchers,,0,405,150,0,0,4
8768984,Japanese spiny lobster,65161,unprotected,,2218,Fewer than 30 watchers,,2,590,56,0,0,7
41883805,Postal addresses in Gibraltar,65008,unprotected,,3102,Fewer than 30 watchers,,2,564,25,1,1,2
38513322,Darrell Wilson,64823,unprotected,,5431,Fewer than 30 watchers,,0,232,32,0,0,
16822167,Ngāti Mutunga,64313,unprotected,,10379,Fewer than 30 watchers,,3,1126,116,2,2,8
2920810,C5-convertase,62723,unprotected,,10840,Fewer than 30 watchers,,1,536,80,0,0,5
648042,ADE classification,62571,unprotected,,20243,32,4,3,544,154,0,0,8
11332893,Tschen La Ling,62544,unprotected,,6365,Fewer than 30 watchers,,2,710,127,0,0,3
8153427,Pa'l Mundo,62081,unprotected,,14809,Fewer than 30 watchers,,5,695,402,1,1,17
7381114,Education in Kentucky,61985,unprotected,,40814,Fewer than 30 watchers,,6,142,184,0,0,10
36632359,Varlam Liparteliani,61565,unprotected,,13447,Fewer than 30 watchers,,0,11925,232,4,4,6
2649059,1910 Tour de France,60506,unprotected,,27057,Fewer than 30 watchers,,0,355,175,0,0,8
28356622,Padmini Rout,60251,unprotected,,8490,Fewer than 30 watchers,,0,1382,116,2,2,5
27850577,Bernard McGinn (theologian),59368,unprotected,,13502,Fewer than 30 watchers,,1,436,69,0,0,24
9829108,Buyback,59346,unprotected,,638,Fewer than 30 watchers,,2,78,23,1,1,
39630312,Live at Montreux 2012,58444,unprotected,,3200,Fewer than 30 watchers,,0,922,44,2,2,11
2230291,Angelo Iachino,58378,unprotected,,8260,Fewer than 30 watchers,,0,647,101,2,1,12
40846275,Technothlon,58232,unprotected,,16424,Fewer than 30 watchers,,0,815,115,0,0,10
310053,Uar,56949,unprotected,,26,Fewer than 30 watchers,,0,447,339,0,0,
32289827,The Gravy Train,56091,unprotected,,3424,Fewer than 30 watchers,,0,616,40,0,0,2
40407644,Vivian Hoo Kah Mun,55662,unprotected,,18507,Fewer than 30 watchers,,4,3536,117,1,1,7
35767679,Ved Pratap Vaidik,54948,unprotected,,4222,Fewer than 30 watchers,,1,542,112,0,0,5
34389,Yukinobu Hoshino,54734,unprotected,,4551,Fewer than 30 watchers,,4,422,86,0,0,15
49517831,Move assignment operator,54482,unprotected,,2857,Fewer than 30 watchers,,0,577,35,0,0,
10700479,Industrial heritage,53783,unprotected,,5327,Fewer than 30 watchers,,1,299,96,0,0,5
2613318,Chad McNamara,53289,unprotected,,0,Fewer than 30 watchers,,0,0,,,,
1824796,K. Sri Dhammananda,53001,unprotected,,12305,Fewer than 30 watchers,,6,926,122,0,0,19
25235824,To Rob a Thief,52693,unprotected,,4220,Fewer than 30 watchers,,4,263,97,1,1,8
12144097,Mayfair Club,52306,unprotected,,5343,Fewer than 30 watchers,,1,572,88,0,0,
23662414,Urban Waste Water Treatment Directive,52176,unprotected,,10820,Fewer than 30 watchers,,3,159,48,0,0,5
28144534,Paula Findlay,51626,unprotected,,5844,Fewer than 30 watchers,,0,1776,109,0,0,4
47502334,Blair Brandt,51195,unprotected,,25209,Fewer than 30 watchers,,2,254,181,0,0,
2352924,National Assembly (Burundi),50986,unprotected,,5256,Fewer than 30 watchers,,2,503,65,0,0,4
40475716,David Gillespie (politician),50974,unprotected,,16404,Fewer than 30 watchers,,1,3111,96,1,1,6
24062763,Public housing estates in Kwai Chung,50955,unprotected,,40034,Fewer than 30 watchers,,11,469,186,12,1,7
11801946,Mikhail Piotrovsky,50848,unprotected,,5495,Fewer than 30 watchers,,3,360,91,0,0,18
2357704,Bluehead wrasse,50488,unprotected,,83,Fewer than 30 watchers,,0,58,1,0,0,
2341461,Dominic Dromgoole,49408,unprotected,,10746,Fewer than 30 watchers,,5,492,119,0,0,13
26077317,7.65mm Roth–Sauer,49386,unprotected,,2373,Fewer than 30 watchers,,3,482,15,0,0,
41818028,Elizabeth Anita Reddi,49385,unprotected,,3653,Fewer than 30 watchers,,0,182,56,0,0,8
35184381,List of Nostalgia Critic episodes (2012),48679,unprotected,,0,Fewer than 30 watchers,,0,0,,,,
11324325,Samuel Whitside,48196,unprotected,,20073,Fewer than 30 watchers,,1,465,304,0,0,2
28194310,Registrar of the University of Oxford,47919,unprotected,,45867,Fewer than 30 watchers,,0,99,115,0,0,8
6055852,Saintly,47883,unprotected,,10105,Fewer than 30 watchers,,0,157,92,0,0,8
14916076,Up All Night (East 17 album),47577,unprotected,,8624,Fewer than 30 watchers,,0,462,90,0,0,23
2955601,Mexcaltitán de Uribe,47413,unprotected,,6603,Fewer than 30 watchers,,5,1190,91,0,0,5
9759370,Gadolinium oxysulfide,47383,unprotected,,5950,Fewer than 30 watchers,,2,355,27,0,0,12
5707808,Banapur,47098,unprotected,,9972,Fewer than 30 watchers,,1,403,157,0,0,8
37092694,University of Bunda Mulia,46974,unprotected,,11500,Fewer than 30 watchers,,1,372,45,0,0,4
45516978,The Day Is My Enemy (song),46843,unprotected,,3886,Fewer than 30 watchers,,0,297,71,0,0,13
916850,"St Mary's College, Durham",46604,unprotected,,10540,Fewer than 30 watchers,,2,726,237,0,0,7
18998228,Telephone numbers in Andorra,46371,unprotected,,2745,Fewer than 30 watchers,,1,336,33,0,0,3
8789450,Devrukhe,46243,unprotected,,1951,Fewer than 30 watchers,,0,725,150,0,0,2
2459592,John Bly,46184,unprotected,,4763,Fewer than 30 watchers,,1,318,97,0,0,3
7377029,Delaware County Daily Times,46102,unprotected,,3222,Fewer than 30 watchers,,6,118,54,0,0,
4352243,Kita e,45782,unprotected,,19635,Fewer than 30 watchers,,5,231,146,0,0,3
8035336,Wig wag (truck braking systems),45452,unprotected,,64,Fewer than 30 watchers,,0,230,28,0,0,2
18530865,Mohamed Noor,45424,unprotected,,8859,Fewer than 30 watchers,,0,266,76,4,2,10
18857576,David Walters (swimmer),45310,unprotected,,11604,Fewer than 30 watchers,,1,1837,148,0,0,6
39178356,Volta Tour,45268,unprotected,,51862,Fewer than 30 watchers,,0,343,66,0,0,8
31693098,Capital structure substitution theory,44288,unprotected,,13998,Fewer than 30 watchers,,0,164,83,0,0,
42417116,German Whip,44266,unprotected,,8706,Fewer than 30 watchers,,0,309,56,0,0,5
18792140,"National Register of Historic Places listings in Sacramento County, California",44246,unprotected,,43365,Fewer than 30 watchers,,4,150,167,1,1,
13370334,Nandoni Dam,44049,unprotected,,3779,Fewer than 30 watchers,,1,436,54,0,0,4
580353,Fallturm Bremen,44048,unprotected,,1511,Fewer than 30 watchers,,1,489,68,0,0,2
37815274,Albert Hertzog,43594,unprotected,,35577,Fewer than 30 watchers,,0,742,115,0,0,11
21892912,"In Other Rooms, Other Wonders",43458,unprotected,,4237,Fewer than 30 watchers,,0,365,28,0,0,
44628484,George Lopez (season 4),43403,unprotected,,64,Fewer than 30 watchers,,0,7,37,0,0,
8614481,Shane Jennings,43077,unprotected,,6447,Fewer than 30 watchers,,0,247,159,0,0,6
46263710,The Disreputable History of Frankie Landau-Banks,42766,unprotected,,7664,Fewer than 30 watchers,,0,376,45,0,0,
7224529,Iain Ballamy,42609,unprotected,,14474,Fewer than 30 watchers,,0,443,242,5,4,17
23263286,Dim (album),42545,unprotected,,4682,Fewer than 30 watchers,,0,272,108,0,0,6
19358845,Enders Island,42448,unprotected,,4875,Fewer than 30 watchers,,1,1157,67,0,0,3
2265031,Cashmere High School,41737,unprotected,,16227,Fewer than 30 watchers,,1,339,334,2,2,14
7200330,Tsvi C. Nussbaum,41275,unprotected,,357,Fewer than 30 watchers,,0,49,159,0,0,
960330,George Barris (photographer),41175,unprotected,,2834,Fewer than 30 watchers,,0,225,161,0,0,6
3771692,Toy Pop,41124,unprotected,,8548,Fewer than 30 watchers,,5,396,121,0,0,6
1160658,Makio Inoue,41065,unprotected,,8909,Fewer than 30 watchers,,1,321,93,0,0,11
5622925,Toast rack,40474,unprotected,,5893,Fewer than 30 watchers,,1,301,61,0,0,
31026684,Carlos Orellana,40297,unprotected,,4992,Fewer than 30 watchers,,0,295,54,0,0,12
5317583,Rufus of Ephesus,39887,unprotected,,12017,Fewer than 30 watchers,,2,373,75,1,1,24
11907700,Maydh,39803,unprotected,,8125,Fewer than 30 watchers,,0,480,309,0,0,3
6521798,Dan Saleaumua,39753,unprotected,,7839,Fewer than 30 watchers,,0,414,117,0,0,4
10598057,Citizen Weather Observer Program,39723,unprotected,,4884,Fewer than 30 watchers,,3,326,76,0,0,5
37903493,Kollapur (Assembly constituency),39669,unprotected,,2613,Fewer than 30 watchers,,0,666,43,0,0,4
2717091,Renseneb,39604,unprotected,,4446,Fewer than 30 watchers,,0,162,59,0,0,
16895496,Chebyshev center,39259,unprotected,,8588,Fewer than 30 watchers,,1,282,58,0,0,7
20589388,Leon Ichaso,39182,unprotected,,4024,Fewer than 30 watchers,,0,408,45,1,1,23
25630,Politics of Réunion,39059,unprotected,,5674,Fewer than 30 watchers,,3,245,90,0,0,10
10388073,Termini (Rome Metro),38613,unprotected,,3897,Fewer than 30 watchers,,1,185,78,0,0,9
6299543,City Oval,38393,unprotected,,13609,Fewer than 30 watchers,,1,207,78,2,2,3
21063798,José Fedor Rey,38143,unprotected,,704,Fewer than 30 watchers,,1,427,35,0,0,2
43743263,Euan Spark,37963,unprotected,,10172,Fewer than 30 watchers,,0,586,88,1,1,5
40039079,Hwang Dong-hyuk,37558,unprotected,,9494,Fewer than 30 watchers,,0,846,47,1,1,5
36371998,EchoStar XVII,37502,unprotected,,6028,Fewer than 30 watchers,,1,237,62,0,0,
41502567,Kim Chol-man,37403,unprotected,,10922,Fewer than 30 watchers,,2,197,75,0,0,5
36549215,El Deber,37140,unprotected,,986,Fewer than 30 watchers,,1,642,20,0,0,
17943590,University of Southern California academics,37110,unprotected,,17896,Fewer than 30 watchers,,7,425,100,1,1,6
