view_count,page_length,edit_count,page_watchers,page_watchers_recent_edits,page_views_past_30days,redirects,recent_number_of_edits,number_distinct_authors,number_categories,label
2959231,147226,13234,957,102,20601,54,6,4,5,2
6411198,47971,3407,107,8,38340,3,7,5,5,3
625907,69731,661,25,50,15947,7,12,5,5,3
969377,17581,3738,154,10,9834,13,7,6,5,3
701635,72180,625,25,50,13581,7,15,8,5,3
2664,1647,9,25,50,8,1,0,0,6,0
5038,2301,10,25,50,11,0,0,0,6,0
6033,1070,17,25,50,11,3,0,0,6,0
4114,2543,11,25,50,12,0,0,0,6,0
6778,4375,18,25,50,15,0,0,0,6,0
8546,634,15,25,50,16,0,0,0,6,0
18236,714,30,25,50,68,1,0,0,6,0
12726,3343,66,25,50,88,2,0,0,6,0
10783,3674,34,25,50,90,0,0,0,6,0
48569,6465,56,25,50,205,0,0,0,6,0
29116,1660,10,25,50,225,0,0,0,6,0
42507,4813,51,25,50,248,0,0,0,6,0
53629,15929,273,25,50,302,1,0,0,6,1
40748,1965,170,25,50,317,1,0,0,6,1
46280,6387,168,25,50,322,3,0,0,6,3
50965,12326,125,25,50,370,0,0,0,6,1
92976,5234,234,25,50,378,1,0,0,6,1
106833,52093,429,37,8,433,2,0,0,6,3
106833,52093,429,37,8,433,2,0,0,6,3
56294,85725,269,25,50,468,2,0,0,6,0
18667,15417,58,25,50,476,2,0,0,6,0
67702,1856,214,25,50,487,0,0,0,6,2
70484,13416,331,25,50,520,5,0,0,6,1
234392,6479,151,25,50,3581,0,0,0,6,1
319698,38928,535,38,6,4662,2,0,0,6,2
686603,8114,270,25,50,4743,3,0,0,6,2
2451914,104,3,779,24,4911,0,0,0,6,1
406821,23712,1938,67,13,9817,3,0,0,6,2
1178088,39232,835,35,50,11789,8,0,0,6,1
1590426,18133,342,117,7,12696,3,0,0,6,1
1687844,66143,566,381,59,15858,5,0,0,6,3
10279,2183,40,25,50,51,1,1,1,6,0
331609,32466,970,55,7,3772,14,1,1,6,1
941547,12561,514,25,50,2402,0,2,1,6,3
2429961,116950,3969,471,66,31103,90,5,4,6,3
1304497,97313,2406,154,21,22038,12,16,10,6,3
39509,12123,686,25,50,8796,4,16,11,6,3
8405,275,25,25,50,1,0,0,0,7,3
6243,2115,13,25,50,18,1,0,0,7,0
5449,1812,23,25,50,20,0,0,0,7,0
8159,4406,31,25,50,21,0,0,0,7,0
7884,9326,36,25,50,23,0,0,0,7,0
10243,24338,244,25,50,25,1,0,0,7,0
7441,1808,34,25,50,26,0,0,0,7,0
6542,1590,20,25,50,40,1,0,0,7,0
26082,40242,678,25,50,68,4,0,0,7,0
17392,4200,250,25,50,69,0,0,0,7,1
44582,22139,392,42,6,147,5,0,0,7,2
27629,3265,57,25,50,207,1,0,0,7,0
26588,11947,188,35,4,209,7,0,0,7,2
43094,5574,87,25,50,219,4,0,0,7,2
58416,23647,206,31,5,297,6,0,0,7,3
102332,6736,670,31,4,470,1,0,0,7,3
47978,4743,29,25,50,472,2,0,0,7,0
60203,7786,175,25,50,619,0,0,0,7,0
194750,6441,251,25,50,938,0,0,0,7,1
7928187,117,4,1041,37,4286,0,0,0,7,2
520695,9508,654,79,9,5554,2,0,0,7,1
940877,9543,691,25,50,6365,1,0,0,7,1
4537726,153,40,487,81,7915,0,0,0,7,3
1046975,10051,1010,83,9,9225,4,0,0,7,1
752065,12342,3394,97,12,10484,13,0,0,7,2
8122043,40998,1577,447,60,161830,19,0,0,7,1
561163,6874,432,25,50,4259,2,1,1,7,1
1836645,74987,1878,119,9,13313,0,1,1,7,2
1486571,23015,554,135,14,14823,5,1,1,7,0
1785214,45514,6412,146,20,29900,3,1,1,7,2
159701,9233,241,25,50,1602,0,2,1,7,0
1019279,32945,1022,183,23,10531,6,2,1,7,1
312413,57284,853,94,8,1947,11,2,2,7,3
1031457,42752,1827,25,50,9424,7,2,2,7,1
2916208,24654,9877,997,45,49251,193,2,2,7,3
663253,25602,3762,87,14,11311,10,4,4,7,2
7369447,34899,5323,118,8,58087,0,13,9,7,2
543,59330,198,25,50,13608,7,125,11,7,2
4411,1432,22,25,50,3,0,0,0,8,0
5773,1789,8,25,50,22,1,0,0,8,0
6928,5366,58,25,50,22,0,0,0,8,0
10482,2638,82,25,50,29,0,0,0,8,0
10909,3019,23,25,50,39,0,0,0,8,0
8361,4344,26,25,50,45,2,0,0,8,0
14764,4993,123,25,50,54,3,0,0,8,1
14989,5932,38,25,50,57,3,0,0,8,0
11383,4428,41,25,50,64,0,0,0,8,0
19145,5935,217,25,50,72,1,0,0,8,0
20048,4567,199,25,50,118,0,0,0,8,1
19396,9360,87,25,50,124,1,0,0,8,0
19956,4274,127,25,50,135,0,0,0,8,1
104469,7612,108,25,50,223,12,0,0,8,0
36063,12572,91,25,50,229,1,0,0,8,1
35307,7717,84,25,50,240,0,0,0,8,0
25673,9233,60,25,50,290,1,0,0,8,0
92292,6185,95,25,50,316,1,0,0,8,0
30716,6619,42,25,50,561,1,0,0,8,0
73579,9200,182,25,50,1157,7,0,0,8,1
180548,73751,783,40,5,1979,5,0,0,8,3
211863,11156,510,33,5,2335,4,0,0,8,1
846410,9938,768,89,9,5388,33,0,0,8,1
9197523,185,78,845,109,19263,0,0,0,8,3
4908376,16548,1091,369,17,47213,9,0,0,8,1
18945,7421,49,25,50,30,0,1,1,8,0
36204,16829,146,25,50,136,2,1,1,8,2
193387,23547,537,25,50,1423,0,1,1,8,1
680230,5177,352,54,8,7828,13,1,1,8,1
1011476,38908,474,182,18,8558,10,1,1,8,1
2198960,118094,3913,157,15,9454,13,1,1,8,1
2428631,26195,4390,421,35,27800,12,1,1,8,2
3439109,26696,1391,244,24,33618,8,1,1,8,2
1267744,49318,2005,31,2,7728,1,2,1,8,1
10830,4342,32,25,50,64,0,3,1,8,0
8960514,51883,3995,306,30,90569,24,5,2,8,1
5121310,22563,1695,366,36,81522,13,4,3,8,3
1046078,58629,932,70,15,13336,18,4,4,8,1
91731,13421,377,50,4,850,5,7,4,8,0
840547,43900,7546,484,12,7655,32,10,4,8,3
2123859,17295,3480,375,41,18204,6,7,6,8,3
376293,22874,204,47,10,2357,9,39,10,8,3
5888455,86633,4563,85,16,105936,3,18,12,8,3
2768125,40299,2123,167,17,38308,7,13,13,8,3
10438,9045,99,25,50,14,2,0,0,9,0
6460,1895,12,25,50,39,0,0,0,9,0
7730,10125,59,25,50,47,1,0,0,9,0
34990,5397,129,25,50,76,4,0,0,9,0
24621,1110,17,25,50,84,1,0,0,9,0
21011,5844,55,25,50,166,1,0,0,9,0
54999,3834,53,25,50,881,0,0,0,9,0
72372,2718,757,25,50,920,4,0,0,9,2
106391,15267,562,25,50,1141,0,0,0,9,1
237120,14134,1521,46,3,1677,2,0,0,9,1
193942,15897,511,83,9,1818,12,0,0,9,3
231967,26179,396,36,4,2448,3,0,0,9,3
279617,39388,644,25,50,2785,4,0,0,9,1
293221,15067,416,56,12,3437,19,0,0,9,0
611597,5996,263,25,50,4188,1,0,0,9,2
554989,46782,644,142,12,5851,7,0,0,9,1
6633566,21381,1993,281,24,51226,2,0,0,9,1
35002,8596,299,25,50,241,1,1,1,9,1
33949,9191,55,25,50,845,0,1,1,9,0
1206438,77026,2750,349,16,11221,18,1,1,9,2
845294,17225,830,102,21,12860,7,1,1,9,1
508182,23196,256,41,5,5666,3,2,1,9,1
83965,8442,333,34,2,851,9,3,1,9,2
735169,11037,626,39,3,7069,0,2,2,9,2
798234,46599,868,69,8,7660,1,2,2,9,2
1222990,48454,2961,41,5,9580,1,2,2,9,3
1279895,93503,6428,192,13,19208,32,2,2,9,2
6556991,193388,6404,589,83,58001,23,9,7,9,2
7276665,81849,11631,514,22,77519,12,18,12,9,3
4124129,47461,4543,207,34,121150,23,33,22,9,1
8270,5118,27,25,50,45,0,0,0,10,0
10685,3156,58,25,50,60,5,0,0,10,0
18773,5359,116,25,50,132,3,0,0,10,1
82560,5735,96,25,50,665,1,0,0,10,1
58232,16424,115,25,50,847,0,0,0,10,0
160425,11108,299,25,50,1087,4,0,0,10,0
89607,15884,353,25,50,1096,5,0,0,10,0
92358,17384,324,25,50,1260,10,0,0,10,1
210150,27156,410,44,13,2233,4,0,0,10,2
995097,9564,361,45,9,6554,3,0,0,10,1
876561,3346,294,25,50,7054,0,0,0,10,1
1218436,52234,1006,120,8,22062,5,0,0,10,1
25323,1428,39,25,50,149,0,2,1,10,0
85379,75912,939,83,50,419,12,2,1,10,2
1013275,27205,2027,49,6,11256,11,2,2,10,3
4235308,50926,2617,301,29,93831,70,2,2,10,1
1974023,15759,463,128,13,16668,14,7,2,10,2
111685,5698,351,25,50,1215,9,3,3,10,3
2150116,104954,6756,96,10,17698,6,3,3,10,2
196766,7122,828,44,4,2144,6,7,3,10,1
1461174,132431,3367,264,26,8607,29,7,6,10,0
3911900,42922,3894,514,47,28788,3,19,7,10,3
7394709,130229,8570,898,112,79441,69,9,8,10,3
9467,2673,20,25,50,62,0,0,0,11,0
17824,2839,65,25,50,83,0,0,0,11,0
11000,2345,52,25,50,94,0,0,0,11,0
36892,20489,252,25,50,174,4,0,0,11,1
82673,20207,381,43,13,344,3,0,0,11,2
36781,4521,87,25,50,367,0,0,0,11,0
101212,21260,398,25,50,1450,1,0,0,11,1
1445243,31648,885,138,15,13607,8,0,0,11,2
812397,15382,1622,76,12,14448,21,0,0,11,2
52630,53284,836,41,50,439,2,1,1,11,1
2816859,26287,2005,178,20,7437,6,1,1,11,1
1274269,29244,546,128,20,13095,7,1,1,11,2
1107024,40783,4432,107,5,17130,6,1,1,11,2
1725900,17065,964,108,11,21296,2,2,2,11,3
3711274,32526,2287,489,36,45123,19,2,2,11,3
3357279,21159,1379,176,22,66795,5,4,3,11,1
5051287,159170,6442,230,18,57019,429,5,3,11,1
800824,52122,3537,58,7,13529,2,12,3,11,2
465985,21454,1095,42,8,5149,3,5,4,11,3
4544647,54511,3584,398,37,57092,18,13,10,11,3
9227,1621,52,25,50,11,0,0,0,12,0
11112,4303,31,25,50,33,2,0,0,12,0
20745,3143,472,25,50,151,2,0,0,12,1
147957,43892,1381,129,11,1306,11,0,0,12,2
166809,14378,842,67,13,1951,19,0,0,12,3
442784,14865,838,99,10,3093,10,0,0,12,1
485956,14842,375,32,2,4808,2,0,0,12,0
1298825,13196,1890,146,10,11237,5,0,0,12,1
2314709,28382,2032,193,17,14945,6,0,0,12,3
2484625,11713,1288,68,7,20484,5,0,0,12,1
1257399,21589,1073,69,9,20658,7,0,0,12,1
4176999,28200,4279,201,8,26334,7,0,0,12,1
8800,8807,45,25,50,59,1,1,1,12,0
768371,52358,1895,71,10,11517,8,1,1,12,1
123765,19676,238,25,50,1633,5,2,2,12,0
1056929,24469,840,108,3,4721,0,3,3,12,3
2631829,39739,6982,498,57,30345,55,4,4,12,3
1641873,49111,3975,136,17,23871,8,6,4,12,2
4895849,106845,4195,615,50,29044,9,10,6,12,3
9490155,173788,5519,285,37,114284,54,16,6,12,1
6601,1778,53,25,50,15,0,0,0,13,0
7906,3887,37,25,50,39,1,0,0,13,0
8735,4113,41,25,50,43,2,0,0,13,0
15571,2410,40,25,50,179,2,0,0,13,0
27257,2592,119,25,50,209,0,0,0,13,1
476907,11599,2006,52,11,6229,2,0,0,13,2
5210880,30168,5631,359,34,27191,29,0,0,13,1
14886523,38698,2966,535,63,200916,63,0,0,13,1
25820,6357,457,52,8,117,7,1,1,13,2
47433,2814,38,25,50,318,1,1,1,13,0
698469,38734,962,25,50,4892,0,1,1,13,1
944178,74407,820,52,7,8119,2,1,1,13,1
2632543,24173,2754,211,21,15328,5,1,1,13,1
4675419,22937,1711,140,16,21627,8,1,1,13,1
4455570,65364,2010,208,28,46540,38,1,1,13,2
680034,87066,1299,124,10,7237,8,2,1,13,2
2058135,140725,1604,301,25,15031,14,2,2,13,1
985526,15692,3059,80,2,15324,7,2,2,13,2
3338751,38483,3233,230,25,50249,15,3,2,13,3
1243556,40081,2351,151,14,12049,10,7,7,13,3
721698,68764,2451,148,20,12995,21,8,7,13,3
5451752,105412,6763,290,31,76304,31,12,9,13,3
1939928,50129,6932,171,22,28879,25,14,11,13,3
13106310,95845,3514,250,41,93577,6,43,20,13,3
5240447,121889,10970,911,61,69007,53,42,25,13,3
5605,2857,70,25,50,11,1,0,0,14,0
8391,2146,196,25,50,17,1,0,0,14,3
20364,9169,222,25,50,118,2,0,0,14,1
29106,5864,70,25,50,384,2,0,0,14,0
144130,28266,1834,130,11,1186,3,0,0,14,2
319210,36845,541,66,7,1718,1,0,0,14,1
191281,46380,655,97,9,2064,3,0,0,14,2
440768,67131,2667,244,15,2831,15,0,0,14,1
438661,44604,505,121,17,2954,12,0,0,14,2
402155,46977,1090,184,16,4065,6,0,0,14,2
2474667,12759,2851,176,27,16269,12,0,0,14,1
4064083,115148,9901,839,27,55588,71,0,0,14,1
6812,6145,36,25,50,28,0,1,1,14,0
61461,11245,247,32,5,670,7,1,1,14,2
205576,7630,225,25,50,3148,2,1,1,14,0
1157705,75945,1537,139,15,9140,17,1,1,14,3
3873158,46087,2731,461,59,38697,19,1,1,14,3
5327670,183925,3708,199,15,45485,25,1,1,14,2
5695914,37769,6371,496,42,77869,21,1,1,14,1
296361,41847,1163,37,3,2289,1,3,1,14,3
14213,8587,89,25,50,38,1,2,2,14,0
141900,9185,188,25,50,4250,0,2,2,14,0
3874683,64558,2926,201,12,60553,15,2,2,14,3
4780444,42711,3247,61,7,72553,26,6,2,14,2
2532034,37634,3460,218,24,19020,15,3,3,14,3
3416117,74479,3481,415,23,32786,23,3,3,14,3
664000,37676,4466,127,17,10257,29,6,4,14,2
5315926,55405,3088,487,48,50718,29,6,6,14,3
2463950,61285,7278,251,26,34178,63,19,6,14,2
6403390,90470,4982,514,43,52563,26,7,7,14,3
5596522,108759,2816,159,28,226329,6,41,15,14,2
23833,4243,132,25,50,74,0,0,0,15,1
74767,32431,401,25,50,504,3,0,0,15,1
585896,33736,1598,128,22,5246,4,0,0,15,1
756744,35919,820,41,5,13094,5,0,0,15,1
2247848,28215,2830,203,22,17574,35,0,0,15,1
2420343,23618,5028,464,49,20124,21,0,0,15,2
153017,117508,2168,170,18,2059,16,1,1,15,2
2106305,54724,1578,305,31,15593,4,1,1,15,2
1611063,87645,4908,424,44,15859,50,1,1,15,2
43675,14074,214,25,50,557,3,2,1,15,0
740650,100670,3068,277,28,7290,12,2,1,15,2
62622,28304,530,77,5,327,2,3,1,15,2
429373,15211,1564,71,9,5925,16,3,2,15,3
4863233,78303,3165,210,14,65537,7,8,2,15,2
1178077,34827,1450,258,33,16001,11,3,3,15,3
8233943,98344,3104,120,21,72687,3,3,3,15,1
1795128,42844,4361,85,6,25266,9,5,3,15,1
10468369,163577,7000,602,65,60590,27,7,5,15,1
5772522,105964,10539,454,66,157790,70,22,8,15,1
1830065,97813,1503,235,21,18083,31,103,11,15,1
13262,3740,20,25,50,72,1,0,0,16,0
164637,17255,644,92,9,1518,7,0,0,16,2
208303,20539,986,25,50,3743,6,0,0,16,1
569073,7037,1154,55,3,5141,3,0,0,16,1
21196,30012,861,51,6,83,11,1,1,16,1
4372534,12665,1329,101,9,54602,7,1,1,16,1
996588,45205,3594,106,6,9657,11,2,2,16,1
2337420,109843,2489,373,33,22845,12,3,3,16,2
1010860,139974,3048,93,7,9122,6,4,4,16,3
194179,22636,412,25,50,2483,0,14,4,16,1
608497,385324,3599,31,4,1359,1,5,5,16,3
1206133,94515,1818,110,10,7529,8,5,5,16,1
4174816,73341,8060,365,30,48291,52,9,5,16,1
11710601,136400,4342,231,38,116058,9,15,7,16,2
6454228,108782,4302,478,52,67935,30,8,8,16,3
5181235,91920,6735,1011,37,20109,34,11,8,16,3
3495645,38670,2883,225,29,27215,6,41,19,16,3
186064,23294,522,25,50,2058,5,0,0,17,0
550054,12874,316,25,50,5106,1,0,0,17,1
1040275,40895,2574,253,34,11184,39,0,0,17,2
4523535,35587,6322,498,34,40528,10,0,0,17,1
5796741,31837,3356,411,35,44272,22,0,0,17,1
271038,33059,867,151,11,2461,5,1,1,17,2
213773,17990,476,25,50,3934,11,1,1,17,1
4524856,57451,1665,112,28,40349,13,1,1,17,1
532438,56405,1753,127,20,5972,11,3,2,17,3
2537261,92349,3142,59,10,35126,8,8,2,17,1
6738868,74085,1826,130,19,32884,19,3,3,17,3
11557598,74924,5468,684,58,69303,15,5,3,17,1
1119139,68456,10761,478,20,11582,39,7,4,17,3
10603884,54350,3656,508,96,384144,40,7,5,17,2
706742,82852,1861,165,29,9822,1,10,5,17,2
3594628,104628,6807,320,50,51519,49,12,5,17,2
43579777,160306,9424,484,25,190762,31,12,5,17,2
67497797,315549,22265,942,155,338093,40,72,11,17,2
401824,18822,592,45,4,3327,11,0,0,18,1
825267,54661,1795,178,20,8975,4,0,0,18,2
9382102,74774,3695,548,55,61283,38,0,0,18,3
220088,34012,538,36,3,1359,4,1,1,18,0
1677603,143272,4270,314,16,7521,34,1,1,18,2
15604902,166115,7200,423,56,129286,32,2,1,18,2
5725036,43104,4007,379,39,40233,15,4,1,18,2
2044228,20366,3693,209,8,18097,5,2,2,18,1
22504820,147998,6509,492,18,198451,2,2,2,18,2
1523941,30894,1326,250,30,16092,18,6,3,18,2
12497506,27801,4118,415,17,177219,4,4,4,18,1
2671883,81108,2139,292,47,34506,33,7,4,18,2
1384373,94061,15983,1595,25,12064,109,8,5,18,3
17453,4458,404,25,50,180,12,14,7,18,3
15235947,137744,5328,282,53,93752,41,17,12,18,3
797312,44899,2515,70,8,16707,1,17,15,18,3
6456090,95382,15285,599,73,116724,63,68,39,18,3
1115033,15385,2897,90,2,11969,4,0,0,19,1
4128877,67235,3996,366,29,32097,28,1,1,19,1
4262082,159341,6650,204,11,46114,7,1,1,19,1
7371353,107366,2543,93,13,83573,6,1,1,19,1
2875630,34917,2117,203,13,32683,16,2,2,19,3
633577,111483,2484,121,9,5448,16,3,3,19,3
3755481,60155,2872,256,25,41473,7,3,3,19,3
6617711,135196,5022,589,47,46220,32,3,3,19,3
3099898,66576,3519,187,6,20532,9,4,4,19,1
10376263,98833,8761,728,16,140047,25,5,4,19,2
8821963,211801,3422,190,33,61452,10,20,13,19,3
10346632,50327,6019,508,44,184566,9,23,15,19,3
24249720,109151,9538,1211,100,1234303,35,56,15,19,1
852973,116820,5384,155,20,12986,30,161,20,19,3
4363070,203205,8742,165,25,87532,10,30,22,19,3
8461552,45830,3107,253,17,243079,6,47,25,19,3
7299984,38011,1905,353,46,202524,12,40,29,19,3
8385,2196,14,25,50,55,0,0,0,20,0
17398,5966,83,25,50,70,1,0,0,20,0
98258,7824,137,25,50,1429,1,0,0,20,0
3199524,52245,5239,186,22,34383,24,0,0,20,1
258831,26280,866,62,8,3778,6,1,1,20,3
2790557,41680,3120,203,16,20769,12,1,1,20,2
1444229,51589,2238,115,5,16327,20,2,2,20,1
6609451,50739,3207,378,35,48875,14,3,2,20,1
5693919,61469,4769,979,85,57763,27,7,4,20,3
1953274,65153,3113,277,25,22181,56,25,7,20,3
16162934,111079,7001,977,104,307634,33,13,9,20,1
8386913,55491,4081,285,29,89531,5,31,9,20,2
1587865,50793,4372,159,22,20774,19,18,11,20,1
23659748,232017,18857,2099,154,222854,75,32,14,20,2
6290265,148340,7451,492,41,510782,60,25,19,20,3
18865,34276,582,34,5,81,1,0,0,21,1
493832,42137,1868,221,11,6959,13,1,1,21,3
3129578,52046,5084,357,26,28176,53,2,1,21,1
4595405,133536,4367,336,32,19170,14,4,3,21,2
5518781,47431,3264,390,31,51790,4,4,4,21,3
